"Museo nacional de Esuatini","Principal museo del país, con gran variedad de exposiciones artísticas y etnográficas","50","1", "8.00"
"Ramblas Restaurant","Descubra una maravillosa experiencia gastronómica en Mbabane","20","1","30.00"
"Ruta en la reserva de Mlilwane","Ruta por la reserva de Mlilwane, donde admira la diversidad de fauna y flora","10","1","5.00"
"Ruta guiada en coche por Esuatini","Ruta de una semana donde se visitarán algunos de los lugares más relevantes de Esuatini","3", "1","70.00"
"Ruta a caballo por el sureste","Preciosa ruta a caballo a lo largo del sureste de Esuatini","5","1","15.00"
"Malandela's Lifestyle","Restaurante de estilo familiar en el valle de Malkerns","40","1","10.00"
"KaMsholo Bushveld Safaris","Alojamiento en la reserva natural de Nisela","150","0","10.00"
"Destilería USA Distillers","Destilería en pleno Big Bend donde se podrá hacer una visita guiada y una cata","30","1","10.00"
"eDladleni Swazi Restaurant","Restaurante de cocina tradicional en Mbabane","60","1","15.00"
"Hilton Garcen Inn Mbabane","Hostal en pleno centro de Mbabane","70","0","30.00"
"Hotel The George","Pequeño hotel a las afueras de Manzini","20","0","50.00"
"Sambane Coffe Shoppe","Restaurante-cafetería localizado en Malkerns","30","1","5.00"
